ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
90,1.82e-08,1.22411,68921,8e+08,1.36729e-18,1.36729e-18,1.36753e-18,2.54277e-16,9261,1e+08,4.1481e-18,4.1481e-18,4.1481e-18,4.42881e-13,7.64167e-11,7.68598e-11
91,1.84e-08,1.23747,68921,8e+08,1.3687e-18,1.3687e-18,1.36917e-18,2.59949e-16,9261,1e+08,4.19415e-18,4.19415e-18,4.19415e-18,4.52702e-13,7.64069e-11,7.68598e-11
92,1.86e-08,1.25082,68921,8e+08,1.37025e-18,1.37025e-18,1.37031e-18,2.65687e-16,9261,1e+08,4.2402e-18,4.2402e-18,4.2402e-18,4.6263e-13,7.63969e-11,7.68598e-11
93,1.88e-08,1.26386,68921,8e+08,1.37179e-18,1.37179e-18,1.37207e-18,2.7149e-16,9261,1e+08,4.28624e-18,4.28624e-18,4.28624e-18,4.72662e-13,7.63869e-11,7.68598e-11
94,1.9e-08,1.27679,68921,8e+08,1.37276e-18,1.37276e-18,1.37305e-18,2.77358e-16,9261,1e+08,4.33229e-18,4.33229e-18,4.33229e-18,4.82799e-13,7.63768e-11,7.68598e-11
95,1.92e-08,1.29065,68921,8e+08,1.37416e-18,1.37416e-18,1.37467e-18,2.83291e-16,9261,1e+08,4.37833e-18,4.37833e-18,4.37833e-18,4.93041e-13,7.63665e-11,7.68598e-11
96,1.94e-08,1.30373,68921,8e+08,1.37586e-18,1.37586e-18,1.37567e-18,2.8929e-16,9261,1e+08,4.42437e-18,4.42437e-18,4.42437e-18,5.03388e-13,7.63562e-11,7.68598e-11
97,1.96e-08,1.31703,68921,8e+08,1.37728e-18,1.37728e-18,1.37783e-18,2.95354e-16,9261,1e+08,4.47041e-18,4.47041e-18,4.47041e-18,5.13839e-13,7.63457e-11,7.68599e-11
98,1.98e-08,1.33005,68921,8e+08,1.37826e-18,1.37826e-18,1.3788e-18,3.01483e-16,9261,1e+08,4.51645e-18,4.51645e-18,4.51645e-18,5.24396e-13,7.63352e-11,7.68599e-11
99,2e-08,1.34326,68921,8e+08,1.37965e-18,1.37965e-18,1.38041e-18,3.07677e-16,9261,1e+08,4.56249e-18,4.56249e-18,4.56249e-18,5.35056e-13,7.63245e-11,7.68599e-11
100,2.02e-08,1.35698,68921,8e+08,1.65599e-18,1.65599e-18,1.65447e-18,3.13936e-16,9261,1e+08,4.60852e-18,4.60852e-18,4.60852e-18,5.45821e-13,7.63137e-11,7.68599e-11
101,2.04e-08,1.40994,68921,8e+08,1.65744e-18,1.65744e-18,1.65611e-18,3.20198e-16,9261,1e+08,4.65456e-18,4.65456e-18,4.65456e-18,5.5669e-13,7.63028e-11,7.68599e-11
102,2.06e-08,1.42397,68921,8e+08,1.65841e-18,1.65841e-18,1.65708e-18,3.26526e-16,9261,1e+08,4.70059e-18,4.70059e-18,4.70059e-18,5.67663e-13,7.62919e-11,7.68598e-11
103,2.08e-08,1.43729,68921,8e+08,1.6598e-18,1.6598e-18,1.65868e-18,3.32918e-16,9261,1e+08,4.74662e-18,4.74662e-18,4.74662e-18,5.78741e-13,7.62808e-11,7.68598e-11
104,2.1e-08,1.45085,68921,8e+08,1.66165e-18,1.66165e-18,1.66204e-18,3.39376e-16,9261,1e+08,4.79265e-18,4.79265e-18,4.79265e-18,5.89922e-13,7.62696e-11,7.68598e-11
105,2.12e-08,1.46419,68921,8e+08,1.66349e-18,1.66349e-18,1.66384e-18,3.45898e-16,9261,1e+08,4.83867e-18,4.83867e-18,4.83867e-18,6.01206e-13,7.62583e-11,7.68598e-11
106,2.14e-08,1.47737,68921,8e+08,1.66446e-18,1.66446e-18,1.66481e-18,3.52485e-16,9261,1e+08,4.8847e-18,4.8847e-18,4.8847e-18,6.12595e-13,7.62469e-11,7.68598e-11
107,2.16e-08,1.49128,68921,8e+08,1.66585e-18,1.66585e-18,1.6664e-18,3.59138e-16,9261,1e+08,4.93072e-18,4.93072e-18,4.93072e-18,6.24087e-13,7.62354e-11,7.68598e-11
108,2.18e-08,1.50452,68921,8e+08,1.66769e-18,1.66769e-18,1.66757e-18,3.65855e-16,9261,1e+08,4.97674e-18,4.97674e-18,4.97674e-18,6.35682e-13,7.62237e-11,7.68598e-11
109,2.2e-08,1.51775,68921,8e+08,1.66912e-18,1.66912e-18,1.66916e-18,3.72638e-16,9261,1e+08,5.02276e-18,5.02276e-18,5.02276e-18,6.4738e-13,7.6212e-11,7.68598e-11
110,2.22e-08,1.53078,68921,8e+08,1.67009e-18,1.67009e-18,1.67013e-18,3.79485e-16,9261,1e+08,5.06878e-18,5.06878e-18,5.06878e-18,6.59182e-13,7.62002e-11,7.68597e-11
111,2.24e-08,1.54404,68921,8e+08,1.67148e-18,1.67148e-18,1.67171e-18,3.86398e-16,9261,1e+08,5.1148e-18,5.1148e-18,5.1148e-18,6.71086e-13,7.61883e-11,7.68597e-11
112,2.26e-08,1.55791,68921,8e+08,1.67305e-18,1.67305e-18,1.67316e-18,3.93375e-16,9261,1e+08,5.16081e-18,5.16081e-18,5.16081e-18,6.83094e-13,7.61762e-11,7.68597e-11
113,2.28e-08,1.57149,68921,8e+08,1.6747e-18,1.6747e-18,1.67504e-18,4.00417e-16,9261,1e+08,5.20682e-18,5.20682e-18,5.20682e-18,6.95204e-13,7.61641e-11,7.68597e-11
114,2.3e-08,1.58448,68921,8e+08,1.67567e-18,1.67567e-18,1.67601e-18,4.07524e-16,9261,1e+08,5.25283e-18,5.25283e-18,5.25283e-18,7.07416e-13,7.61518e-11,7.68596e-11
115,2.32e-08,1.59753,68921,8e+08,1.67706e-18,1.67706e-18,1.67758e-18,4.14696e-16,9261,1e+08,5.29884e-18,5.29884e-18,5.29884e-18,7.19731e-13,7.61395e-11,7.68596e-11
116,2.34e-08,1.61102,68921,8e+08,1.6785e-18,1.6785e-18,1.67883e-18,4.21933e-16,9261,1e+08,5.34485e-18,5.34485e-18,5.34485e-18,7.32149e-13,7.6127e-11,7.68596e-11
117,2.36e-08,1.62487,68921,8e+08,1.68e-18,1.68e-18,1.68066e-18,4.29234e-16,9261,1e+08,5.39085e-18,5.39085e-18,5.39085e-18,7.44669e-13,7.61144e-11,7.68595e-11
118,2.38e-08,1.63839,68921,8e+08,1.68097e-18,1.68097e-18,1.68163e-18,4.36601e-16,9261,1e+08,5.43686e-18,5.43686e-18,5.43686e-18,7.5729e-13,7.61018e-11,7.68595e-11
119,2.4e-08,1.65149,68921,8e+08,1.68234e-18,1.68234e-18,1.68318e-18,4.44032e-16,9261,1e+08,5.48286e-18,5.48286e-18,5.48286e-18,7.70014e-13,7.6089e-11,7.68595e-11
120,2.42e-08,1.6643,68921,8e+08,1.68391e-18,1.68391e-18,1.68441e-18,4.51528e-16,9261,1e+08,5.52885e-18,5.52885e-18,5.52885e-18,7.82839e-13,7.60761e-11,7.68594e-11
121,2.44e-08,1.6791,68921,8e+08,1.98744e-18,1.98744e-18,1.98584e-18,4.59088e-16,9261,1e+08,5.57485e-18,5.57485e-18,5.57485e-18,7.95766e-13,7.60631e-11,7.68594e-11
122,2.46e-08,1.69251,68921,8e+08,1.98841e-18,1.98841e-18,1.98681e-18,4.66645e-16,9261,1e+08,5.62085e-18,5.62085e-18,5.62085e-18,8.08795e-13,7.60501e-11,7.68593e-11
